Timestep,Training Rewards,Max Q,Eval Rewards,Loss
112,22.4,-0.042350702,26.1,1.1344913244247437
242,22.4,0.977713,39.0,1.7704198360443115
346,23.4,2.2161527,33.0,1.80314302444458
465,27.5,1.211273,24.8,2.338294267654419
621,27.5,2.5752614,17.7,1.9609131813049316
735,25.9,3.470644,15.2,1.3404234647750854
841,20.7,3.8263905,9.4,1.4814066886901855
976,24.1,4.7795,9.0,2.220905065536499
1102,26.1,8.285083,9.1,3.3096401691436768
1203,21.6,9.746802,9.4,7.247357368469238
1325,18.7,9.00624,9.0,8.667346000671387
1432,16.6,8.967199,9.5,3.692744255065918
1534,18.2,15.867279,9.2,7.7606987953186035
1650,25.2,10.905138,9.5,5.1748366355896
1759,23.5,17.744345,9.4,19.911455154418945
1871,20.2,17.398905,9.3,22.59942626953125
1980,20.4,19.429136,9.5,15.412426948547363
2094,22.3,23.667276,9.4,9.136299133300781
2205,22.5,23.172724,9.4,14.238998413085938
2335,24.1,22.014803,9.2,10.933656692504883
2447,22.7,24.712772,9.4,21.414247512817383
2578,23.0,31.62536,9.2,50.06007385253906
2703,27.3,26.016733,8.9,23.460067749023438
2808,31.4,26.410202,9.3,22.51775360107422
2922,26.1,27.52683,9.2,78.41169738769531
3022,27.0,27.084827,9.4,1.2798633575439453
3194,24.5,26.138311,10.5,21.09278678894043
3302,19.4,27.092718,13.3,0.54908287525177
3420,20.2,30.514908,10.4,1.3270238637924194
3527,20.2,26.634558,13.9,1.0009303092956543
3631,17.8,26.934713,15.0,43.05968475341797
3738,17.9,26.281118,29.1,0.9680001735687256
3841,17.5,27.912136,23.1,21.309974670410156
3947,20.9,27.53189,28.9,26.09599494934082
4054,26.6,26.873281,54.6,61.658607482910156
4157,22.3,27.292469,21.4,50.55808639526367
4260,20.6,30.02801,29.3,38.78950881958008
4382,25.1,24.776232,22.7,30.71334457397461
4494,28.8,27.295034,16.7,36.23359680175781
4598,30.5,25.429438,27.0,53.71487045288086
4701,27.3,27.988247,42.6,14.664959907531738
4817,20.5,27.1768,41.8,40.28676986694336
4920,17.9,26.533377,25.6,19.990745544433594
5040,20.4,25.573805,19.8,34.49872970581055
5162,25.5,26.894663,23.2,17.79311752319336
5262,27.5,26.317242,27.5,22.21169662475586
5391,19.6,26.733593,50.9,49.96382522583008
5492,21.5,26.541607,30.3,51.91298294067383
5605,26.1,29.373749,29.6,30.584537506103516
5711,27.6,24.022419,49.3,16.775880813598633
5823,27.5,27.318325,45.1,29.772274017333984
5929,21.8,26.233013,56.0,1.2845402956008911
6032,24.7,27.912525,26.7,18.697383880615234
6148,24.0,26.546167,42.3,1.5341289043426514
6252,24.7,27.664103,31.3,14.783894538879395
6361,21.3,26.245792,54.6,33.15851974487305
6464,15.2,28.41315,43.4,104.9354476928711
